id,name,code,account_type,reconcile,tag_ids/id
Cuenta401_41_01,Ventas y/o servicios gravados realizados en zona fronteriza norte a crédito,401.41.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta402_01_01,"Devoluciones, descuentos o bonificaciones sobre ventas y/o servicios a la tasa general",402.01.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta402_02_01,"Devoluciones, descuentos o bonificaciones sobre ventas y/o servicios al 0%",402.02.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta402_03_01,"Devoluciones, descuentos o bonificaciones sobre ventas y/o servicios exentos",402.03.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta402_04_01,"Devoluciones, descuentos o bonificaciones de otros ingresos",402.04.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta402_05_01,"Devoluciones, descuentos o bonificaciones sobre ventas y/o servicios en zona fronteriza norte",402.05.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta403_01_01,Otros Ingresos,403.01.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta403_02_01,Otros ingresos nacionales parte relacionada,403.02.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta403_03_01,Otros ingresos extranjeros parte relacionada,403.03.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta403_04_01,Ingresos por operaciones discontinuas,403.04.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta403_05_01,Ingresos por condonación de adeudo,403.05.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta501_02_01,Costo de servicios (Mano de obra),501.02.01,expense_direct_cost,FALSE,l10n_mx.tag_debit_balance_account
Cuenta501_08_01,Otros conceptos de costo,501.08.01,expense_direct_cost,FALSE,l10n_mx.tag_debit_balance_account
Cuenta502_01_01,Compras nacionales,502.01.01,expense_direct_cost,FALSE,l10n_mx.tag_debit_balance_account
Cuenta502_02_01,Compras nacionales parte relacionada,502.02.01,expense_direct_cost,FALSE,l10n_mx.tag_debit_balance_account
Cuenta502_03_01,Compras de Importación,502.03.01,expense_direct_cost,FALSE,l10n_mx.tag_debit_balance_account
Cuenta502_04_01,Compras de Importación partes relacionadas,502.04.01,expense_direct_cost,FALSE,l10n_mx.tag_debit_balance_account
Cuenta503_01_01,"Devoluciones, descuentos o bonificaciones sobre compras",503.01.01,expense_direct_cost,FALSE,l10n_mx.tag_debit_balance_account
Cuenta504_04_01,Otras cuentas de costos incurridos,504.04.01,expense_direct_cost,FALSE,l10n_mx.tag_debit_balance_account
Cuenta504_25_01,Otras cuentas de costos,504.25.01,expense_direct_cost,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_02_01,Compensaciones,601.02.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_03_01,Tiempos extras,601.03.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_04_01,Premios de asistencia,601.04.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_05_01,Premios de puntualidad,601.05.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_06_01,Vacaciones,601.06.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_07_01,Prima vacacional,601.07.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_08_01,Prima dominical,601.08.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_09_01,Días festivos,601.09.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_10_01,Gratificaciones,601.10.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_11_01,Primas de antigüedad,601.11.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_12_01,Aguinaldo,601.12.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_13_01,Indemnizaciones,601.13.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_14_01,Destajo,601.14.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_15_01,Despensa,601.15.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_16_01,Transporte,601.16.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_17_01,Servicio médico,601.17.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_18_01,Ayuda en gastos funerarios,601.18.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_19_01,Fondo de ahorro,601.19.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_20_01,Cuotas sindicales,601.20.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_21_01,PTU,601.21.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_22_01,Estímulo al personal,601.22.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_23_01,Previsión social,601.23.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_24_01,Aportaciones para el plan de jubilación,601.24.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_25_01,Otras prestaciones al personal,601.25.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_27_01,Aportaciones al infonavit,601.27.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_28_01,Aportaciones al SAR,601.28.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_29_01,Impuesto estatal sobre nóminas,601.29.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_30_01,Otras aportaciones,601.30.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_31_01,Asimilados a salarios,601.31.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_32_01,Servicios administrativos,601.32.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_33_01,Servicios administrativos partes relacionadas,601.33.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_34_01,Honorarios a personas físicas residentes nacionales,601.34.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_35_01,Honorarios a personas físicas residentes nacionales partes relacionadas,601.35.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_36_01,Honorarios a personas físicas residentes del extranjero,601.36.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_37_01,Honorarios a personas físicas residentes del extranjero partes relacionadas,601.37.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_38_01,Honorarios a personas morales residentes nacionales,601.38.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_39_01,Honorarios a personas morales residentes nacionales partes relacionadas,601.39.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_40_01,Honorarios a personas morales residentes del extranjero,601.40.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_41_01,Honorarios a personas morales residentes del extranjero partes relacionadas,601.41.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_42_01,Honorarios aduanales personas físicas,601.42.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_43_01,Honorarios aduanales personas morales,601.43.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_44_01,Honorarios al consejo de administración,601.44.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_45_01,Arrendamiento a personas físicas residentes nacionales,601.45.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_46_01,Arrendamiento a personas morales residentes nacionales,601.46.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_47_01,Arrendamiento a residentes del extranjero,601.47.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_48_01,Combustibles y lubricantes,601.48.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_49_01,Viáticos y gastos de viaje,601.49.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_50_01,"Teléfono, internet",601.50.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_51_01,Agua,601.51.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_52_01,Energía eléctrica,601.52.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_53_01,Vigilancia y seguridad,601.53.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_54_01,Limpieza,601.54.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_55_01,Papelería y artículos de oficina,601.55.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_56_01,Mantenimiento y conservación,601.56.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_57_01,Seguros y fianzas,601.57.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_58_01,Otros impuestos y derechos,601.58.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_59_01,Recargos fiscales,601.59.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_60_01,Cuotas y suscripciones,601.60.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_61_01,Propaganda y publicidad,601.61.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_62_01,Capacitación al personal,601.62.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_63_01,Donativos y ayudas,601.63.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_64_01,Asistencia técnica,601.64.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_65_01,Regalías sujetas a otros porcentajes,601.65.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_66_01,Regalías sujetas al 5%,601.66.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_67_01,Regalías sujetas al 10%,601.67.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_68_01,Regalías sujetas al 15%,601.68.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_69_01,Regalías sujetas al 25%,601.69.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_70_01,Regalías sujetas al 30%,601.70.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_71_01,Regalías sin retención,601.71.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_72_01,Fletes y acarreos,601.72.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_73_01,Gastos de importación,601.73.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_74_01,Comisiones sobre ventas,601.74.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_75_01,Comisiones por tarjetas de crédito,601.75.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_76_01,Patentes y marcas,601.76.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_77_01,Uniformes,601.77.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_78_01,Prediales,601.78.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_79_01,Gastos generales de urbanización,601.79.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_80_01,Gastos generales de construcción,601.80.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_81_01,Fletes del extranjero,601.81.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_82_01,Recolección de bienes del sector agropecuario y/o ganadero,601.82.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta601_83_01,Gastos no deducibles (sin requisitos fiscales),601.83.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta701_02_01,Pérdida cambiaria nacional parte relacionada,701.02.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta701_03_01,Pérdida cambiaria extranjero parte relacionada,701.03.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta701_04_01,Intereses a cargo bancario nacional,701.04.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta701_05_01,Intereses a cargo bancario extranjero,701.05.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta701_10_01,Comisiones bancarias,701.10.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta701_11_01,Otros gastos financieros,701.11.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta702_02_01,Utilidad cambiaria nacional parte relacionada,702.02.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta702_03_01,Utilidad cambiaria extranjero parte relacionada,702.03.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta702_10_01,Otros productos financieros,702.10.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta703_21_01,Otros gastos,703.21.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta704_23_01,Otros productos,704.23.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta811_02_01,Contra cuenta utilidad o pérdida fiscal en venta y/o baja de activo fijo,811.02.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta899_01_01,Otras cuentas de orden,899.01.01,expense,FALSE,l10n_mx.tag_debit_balance_account
Cuenta899_02_01,Contra cuenta otras cuentas de orden,899.02.01,expense,FALSE,l10n_mx.tag_debit_balance_account
